"city","country"
"Vijayawada","India"
"Patiala","India"
"Pathankot","India"
"Parbhani","India"
"Adoni","India"
"Ahmadnagar","India"
"Kumbakonam","India"
"Jaipur","India"
"Jhansi","India"
"Jodhpur","India"
"Chandrapur","India"
"Chapra","India"
"Tambaram","India"
"Siliguri (Shiliguri)","India"
"Shivapuri","India"
"Shimoga","India"
"Nagaon","India"
"Mysore","India"
"Satna","India"
"Amroha","India"
"Lhokseumawe","Indonesia"
"Tegal","Indonesia"
"Surakarta","Indonesia"
"Probolinggo","Indonesia"
"Purwakarta","Indonesia"
"Gorontalo","Indonesia"
"Cianjur","Indonesia"
"Ciomas","Indonesia"
"Ciparay","Indonesia"
"Jakarta","Indonesia"
"Pangkal Pinang","Indonesia"
"Pemalang","Indonesia"
"Pontianak","Indonesia"
"Madiun","Indonesia"
"Najafabad","Iran"
"Sirjan","Iran"
"Shahr-e Kord","Iran"
"Esfahan","Iran"
"Qomsheh","Iran"
"Arak","Iran"
"Tabriz","Iran"
"Kermanshah","Iran"
"Mosul","Iraq"
"Tel Aviv-Jaffa","Israel"
"Ashqelon","Israel"
"Bat Yam","Israel"
"Ashdod","Israel"
"Brindisi","Italy"
"Bergamo","Italy"
"Livorno","Italy"
"Alessandria","Italy"
"Syrakusa","Italy"
"Udine","Italy"
"Brescia","Italy"
"Okayama","Japan"
"Akishima","Japan"
"Fukuyama","Japan"
"Higashiosaka","Japan"
"Hino","Japan"
"Hiroshima","Japan"
"Isesaki","Japan"
"Iwaki","Japan"
"Iwakuni","Japan"
"Iwatsuki","Japan"
"Izumisano","Japan"
"Kakamigahara","Japan"
"Kamakura","Japan"
"Kanazawa","Japan"
"Koriyama","Japan"
"Kurashiki","Japan"
"Kuwana","Japan"
"Matsue","Japan"
"Miyakonojo","Japan"
"Nagareyama","Japan"
"Okinawa","Japan"
"Omiya","Japan"
"Onomichi","Japan"
"Otsu","Japan"
"Sagamihara","Japan"
"Sasebo","Japan"
"Shimonoseki","Japan"
"Tama","Japan"
"Tsuyama","Japan"
"Ueda","Japan"
"Urawa","Japan"
"Zhezqazghan","Kazakstan"
"Pavlodar","Kazakstan"
"Nyeri","Kenya"
"Kisumu","Kenya"
"Jalib al-Shuyukh","Kuwait"
"Liepaja","Latvia"
"Daugavpils","Latvia"
"Vaduz","Liechtenstein"
"Vilnius","Lithuania"
"Mahajanga","Madagascar"
"Lilongwe","Malawi"
"Kuching","Malaysia"
"Ipoh","Malaysia"
"Sungai Petani","Malaysia"
"Mexicali","Mexico"
"Huixquilucan","Mexico"
"Celaya","Mexico"
"Carmen","Mexico"
"Coacalco de Berriozbal","Mexico"
"Coatzacoalcos","Mexico"
"Cuauhtmoc","Mexico"
"Cuautla","Mexico"
"Cuernavaca","Mexico"
"Zapopan","Mexico"
"San Juan Bautista Tuxtepec","Mexico"
"San Felipe del Progreso","Mexico"
"Salamanca","Mexico"
"Matamoros","Mexico"
"La Paz","Mexico"
"El Fuerte","Mexico"
"Monclova","Mexico"
"Torren","Mexico"
"Allende","Mexico"
"Jurez","Mexico"
"Jos Azueta","Mexico"
"Guadalajara","Mexico"
"Hidalgo","Mexico"
"Huejutla de Reyes","Mexico"
"Acua","Mexico"
"Nezahualcyotl","Mexico"
"Atlixco","Mexico"
"Pachuca de Soto","Mexico"
"Valle de Santiago","Mexico"
"Uruapan","Mexico"
"Chisinau","Moldova"
"Beni-Mellal","Morocco"
"Sal","Morocco"
"Nador","Morocco"
"Naala-Porto","Mozambique"
"Beira","Mozambique"
"Tete","Mozambique"
"Monywa","Myanmar"
"Myingyan","Myanmar"
"Yangor","Nauru"
"Birgunj","Nepal"
"s-Hertogenbosch","Netherlands"
"Ede","Netherlands"
"Apeldoorn","Netherlands"
"Emmen","Netherlands"
"Amersfoort","Netherlands"
"Hamilton","New Zealand"
"Ife","Nigeria"
"Oyo","Nigeria"
"Zaria","Nigeria"
"Benin City","Nigeria"
"Ogbomosho","Nigeria"
"Deba Habe","Nigeria"
"Effon-Alaiye","Nigeria"
"Ikerre","Nigeria"
"Ilorin","Nigeria"
"Kaduna","Nigeria"
"Owo","Nigeria"
"Ondo","Nigeria"
"Sokoto","Nigeria"
"Pyongyang","North Korea"
"Masqat","Oman"
"Salala","Oman"
"Mandi Bahauddin","Pakistan"
"Dadu","Pakistan"
"Mardan","Pakistan"
"Okara","Pakistan"
"Shikarpur","Pakistan"
"Asuncin","Paraguay"
"Ciudad del Este","Paraguay"
"San Lorenzo","Paraguay"
"Sullana","Peru"
"Hunuco","Peru"
"Lima","Peru"
"Callao","Peru"
"Bayugan","Philippines"
"Ozamis","Philippines"
"Davao","Philippines"
"Santa Rosa","Philippines"
"Imus","Philippines"
"Taguig","Philippines"
"Iligan","Philippines"
"Talavera","Philippines"
"Lapu-Lapu","Philippines"
"Tarlac","Philippines"
"Tanza","Philippines"
"Tanauan","Philippines"
"Cabuyao","Philippines"
"Mandaluyong","Philippines"
"Cavite","Philippines"
"Tuguegarao","Philippines"
"Hagonoy","Philippines"
"Gingoog","Philippines"
"Baybay","Philippines"
"Bislig","Philippines"
"Kalisz","Poland"
"Plock","Poland"
"Czestochowa","Poland"
"Jastrzebie-Zdrj","Poland"
"Lublin","Poland"
"Tychy","Poland"
"Wroclaw","Poland"
"Bydgoszcz","Poland"
"Arecibo","Puerto Rico"
"Ponce","Puerto Rico"
"Bucuresti","Romania"
"Botosani","Romania"
"Saint-Denis","Runion"
"Atinsk","Russian Federation"
"Ivanovo","Russian Federation"
"Korolev","Russian Federation"
"Jaroslavl","Russian Federation"
"Balaiha","Russian Federation"
"Novoterkassk","Russian Federation"
"Niznekamsk","Russian Federation"
"Pjatigorsk","Russian Federation"
"Usolje-Sibirskoje","Russian Federation"
"Jelets","Russian Federation"
"Nabereznyje Telny","Russian Federation"
"Kaliningrad","Russian Federation"
"Moscow","Russian Federation"
"Elista","Russian Federation"
"Kamyin","Russian Federation"
"Teboksary","Russian Federation"
"Dzerzinsk","Russian Federation"
"Zeleznogorsk","Russian Federation"
"Kursk","Russian Federation"
"Serpuhov","Russian Federation"
"Kurgan","Russian Federation"
"Maikop","Russian Federation"
"Kirovo-Tepetsk","Russian Federation"
"Syktyvkar","Russian Federation"
"Kolpino","Russian Federation"
"Ljubertsy","Russian Federation"
"Smolensk","Russian Federation"
"Lipetsk","Russian Federation"
"Kingstown","Saint Vincent and the Grenadines"
"Abha","Saudi Arabia"
"al-Hawiya","Saudi Arabia"
"Tabuk","Saudi Arabia"
"al-Qatif","Saudi Arabia"
"Jedda","Saudi Arabia"
"Ziguinchor","Senegal"
"Bratislava","Slovakia"
"Botshabelo","South Africa"
"Chatsworth","South Africa"
"Paarl","South Africa"
"Kimberley","South Africa"
"Springs","South Africa"
"Soshanguve","South Africa"
"Rustenburg","South Africa"
"Johannesburg","South Africa"
"Klerksdorp","South Africa"
"Boksburg","South Africa"
"Newcastle","South Africa"
"Uijongbu","South Korea"
"Tonghae","South Korea"
"Naju","South Korea"
"Cheju","South Korea"
"Kimchon","South Korea"
"Santiago de Compostela","Spain"
"Donostia-San Sebastin","Spain"
"Ourense (Orense)","Spain"
"A Corua (La Corua)","Spain"
"Gijn","Spain"
"Jaffna","Sri Lanka"
"Omdurman","Sudan"
"al-Qadarif","Sudan"
"Malm","Sweden"
"Basel","Switzerland"
"Bern","Switzerland"
"Lausanne","Switzerland"
"Fengshan","Taiwan"
"Tanshui","Taiwan"
"Chiayi","Taiwan"
"Nantou","Taiwan"
"Chungho","Taiwan"
"Lungtan","Taiwan"
"Hsichuh","Taiwan"
"Tsaotun","Taiwan"
"Touliu","Taiwan"
"Changhwa","Taiwan"
"Tabora","Tanzania"
"Mwanza","Tanzania"
"Zanzibar","Tanzania"
"Nakhon Sawan","Thailand"
"Pak Kret","Thailand"
"Songkhla","Thailand"
"Nukualofa","Tonga"
"Sousse","Tunisia"
"Eskisehir","Turkey"
"Sivas","Turkey"
"Sultanbeyli","Turkey"
"Denizli","Turkey"
"Tarsus","Turkey"
"Tokat","Turkey"
"Gaziantep","Turkey"
"Inegl","Turkey"
"Usak","Turkey"
"Osmaniye","Turkey"
"Batman","Turkey"
"Adana","Turkey"
"Balikesir","Turkey"
"Kilis","Turkey"
"Ktahya","Turkey"
"Ashgabat","Turkmenistan"
"Funafuti","Tuvalu"
"Kamjanets-Podilskyi","Ukraine"
"Mukateve","Ukraine"
"Simferopol","Ukraine"
"Sumy","Ukraine"
"Konotop","Ukraine"
"ostka","Ukraine"
"al-Ayn","United Arab Emirates"
"Sharja","United Arab Emirates"
"Abu Dhabi","United Arab Emirates"
"Southend-on-Sea","United Kingdom"
"Southampton","United Kingdom"
"Southport","United Kingdom"
"Stockport","United Kingdom"
"London","United Kingdom"
"Bradford","United Kingdom"
"York","United Kingdom"
"Dundee","United Kingdom"
"Grand Prairie","United States"
"Saint Louis","United States"
"Lincoln","United States"
"Rockford","United States"
"Roanoke","United States"
"El Monte","United States"
"Clarksville","United States"
"Fontana","United States"
"Garden Grove","United States"
"Garland","United States"
"Cape Coral","United States"
"Compton","United States"
"Bellevue","United States"
"Sunnyvale","United States"
"Greensboro","United States"
"Peoria","United States"
"Manchester","United States"
"Citrus Heights","United States"
"Aurora","United States"
"Augusta-Richmond County","United States"
"Warren","United States"
"Sterling Heights","United States"
"Arlington","United States"
"Joliet","United States"
"Akron","United States"
"Kansas City","United States"
"Lancaster","United States"
"Memphis","United States"
"Dallas","United States"
"Dayton","United States"
"Tallahassee","United States"
"Laredo","United States"
"San Bernardino","United States"
"Brockton","United States"
"Salinas","United States"
"Maracabo","Venezuela"
"Valle de la Pascua","Venezuela"
"Ocumare del Tuy","Venezuela"
"Barcelona","Venezuela"
"Valencia","Venezuela"
"Cuman","Venezuela"
"Caracas","Venezuela"
"Nha Trang","Vietnam"
"Haiphong","Vietnam"
"Nam Dinh","Vietnam"
"Hanoi","Vietnam"
"Cam Ranh","Vietnam"
"Vinh","Vietnam"
"Charlotte Amalie","Virgin Islands, U.S."
"Hodeida","Yemen"
"Sanaa","Yemen"
"Aden","Yemen"
"Taizz","Yemen"
"Kragujevac","Yugoslavia"
"Novi Sad","Yugoslavia"
"Kitwe","Zambia"
